Name,UTS,Yield Strength
AISI 1006 HR Steel,43,24
AISI 1006 CD Steel,48,41
AISI 1010 HR Steel,47,26
AISI 1010 CD Steel,53,44
AISI 1015 HR Steel,50,27.5
AISI 1015 CD Steel,56,47
AISI 1018 HR Steel,58,32
AISI 1018 CD Steel,64,54
AISI 1020 HR Steel,55,30
AISI 1020 CD Steel,68,57
AISI 1030 HR Steel,68,37.5
AISI 1030 CD Steel,76,64
AISI 1035 HR Steel,72,39.5
AISI 1035 CD Steel,80,67
AISI 1040 HR Steel,76,42
AISI 1040 CD Steel,85,71
AISI 1045 HR Steel,82,45
AISI 1045 CD Steel,91,77
AISI 1050 HR Steel,90,49.5
AISI 1050 CD Steel,100,84
AISI 1060 HR Steel,98,54
AISI 1080 HR Steel,112,61.5
AISI 1095 HR Steel,120,66
